normalized_tag,count,raw_tags
paths_and_circuits,2,"{""Paths and circuits"": 2}"
pelt2019,2,"{""pelt2019"": 2}"
primitive_root,2,"{""Primitive Root"": 2}"
python_closures_and_decorators,2,"{""Python - Closures and Decorators"": 2}"
python_date_and_time,2,"{""Python - Date and Time"": 2}"
python_errors_and_exceptions,2,"{""Python - Errors and Exceptions"": 2}"
python_python_functionals,2,"{""Python - Python Functionals"": 2}"
python_xml,2,"{""Python - XML"": 2}"
reachability,2,"{""reachability"": 2}"
rishup_nitdgp,2,"{""rishup_nitdgp"": 2}"
scheduling,2,"{""Scheduling"": 2}"
sept18,2,"{""sept18"": 2}"
sereja_adm,2,"{""sereja_adm"": 2}"
sergey_adm,2,"{""sergey_adm"": 2}"
sos_dp,2,"{""SOS DP"": 2}"
splay_tree,2,"{""Splay Tree"": 2}"
squares,2,"{""Squares"": 2}"
srikkanth_adm,2,"{""srikkanth_adm"": 2}"
start23,2,"{""start23"": 2}"
suffix_tree,2,"{""suffix tree"": 2}"
sylvesters_criterion,2,"{""Sylvesters Criterion"": 1, ""sylvesters-criterion"": 1}"
tmwilliamlin,2,"{""tmwilliamlin"": 2}"
two_pointer,2,"{""Two-pointer"": 2}"
unordered_sets,2,"{""Unordered Sets"": 2}"
varunkhare1234,2,"{""varunkhare1234"": 2}"
vitalij_adm,2,"{""vitalij_adm"": 2}"
watcher,2,"{""watcher"": 2}"
witaliy_adm,2,"{""witaliy_adm"": 2}"
xor,2,"{""xor"": 2}"
0_1_bfs,1,"{""0-1 BFS"": 1}"
3d_arrays,1,"{""3D+ Arrays"": 1}"
aangairbender,1,"{""aangairbender"": 1}"
aashu_k,1,"{""aashu_k"": 1}"
abdullah768,1,"{""abdullah768"": 1}"
adhoc,1,"{""adhoc"": 1}"
aditya10,1,"{""aditya10_"": 1}"
admin3,1,"{""admin3"": 1}"
advanced_greedy,1,"{""Advanced Greedy"": 1}"
akashbhalotia,1,"{""akashbhalotia"": 1}"
alexvaleanu,1,"{""alexvaleanu"": 1}"
algorithms_np_complete,1,"{""Algorithms - NP Complete"": 1}"
all_pairs,1,"{""all pairs"": 1}"
allllekssssa,1,"{""allllekssssa"": 1}"
aloochaat1998,1,"{""aloochaat1998"": 1}"
alphabets,1,"{""alphabets"": 1}"
aman1108,1,"{""aman1108"": 1}"
amitpandeykgp,1,"{""amitpandeykgp"": 1}"
amsgame2,1,"{""amsgame2"": 1}"
anhdq_adm,1,"{""anhdq_adm"": 1}"
anmolrishi,1,"{""anmolrishi"": 1}"
anshg0711,1,"{""anshg0711"": 1}"
antoniuk1,1,"{""antoniuk1"": 1}"
anudeep2011,1,"{""anudeep2011"": 1}"
april11,1,"{""april11"": 1}"
april12,1,"{""april12"": 1}"
april13,1,"{""april13"": 1}"
april16,1,"{""april16"": 1}"
april19,1,"{""april19"": 1}"
arayi,1,"{""arayi"": 1}"
arjunarul_adm,1,"{""arjunarul_adm"": 1}"
arunsharma,1,"{""arunsharma_"": 1}"
aswinashok44,1,"{""aswinashok44"": 1}"
aug20,1,"{""aug20"": 1}"
aug21,1,"{""aug21"": 1}"
auxiliary_tree,1,"{""Auxiliary Tree"": 1}"
avl_tree,1,"{""AVL-Tree"": 1}"
basic,1,"{""basic"": 1}"
basic_programming,1,"{""Basic-Programming"": 1}"
beatty_sequence,1,"{""Beatty sequence"": 1}"
bellmanford,1,"{""BellmanFord"": 1}"
bezout_s_identity,1,"{""Bezout's Identity"": 1}"
bhavyarustgi10,1,"{""bhavyarustgi10"": 1}"
biconnected_components,1,"{""Biconnected Components"": 1}"
bigbag,1,"{""bigbag"": 1}"
binary_search_trees,1,"{""Binary Search Trees"": 1}"
bipin2,1,"{""bipin2"": 1}"
bit22019,1,"{""bit22019"": 1}"
bitwise_and,1,"{""bitwise-and"": 1}"
bitwise_xor,1,"{""bitwise-xor"": 1}"
burnside_lemma,1,"{""Burnside Lemma"": 1}"
bytr2020,1,"{""bytr2020"": 1}"
carmichael_function,1,"{""carmichael-function"": 1}"
cauchy_schwarz_inequality,1,"{""Cauchy Schwarz Inequality"": 1}"
ccrc2021,1,"{""ccrc2021"": 1}"
chigu,1,"{""chigu"": 1}"
completed,1,"{""Completed"": 1}"
connectivity,1,"{""Connectivity"": 1}"
cook06,1,"{""cook06"": 1}"
cook08,1,"{""cook08"": 1}"
cook10,1,"{""cook10"": 1}"
cook100,1,"{""cook100"": 1}"
cook101,1,"{""cook101"": 1}"
cook103,1,"{""cook103"": 1}"
cook108,1,"{""cook108"": 1}"
cook111,1,"{""cook111"": 1}"
cook113,1,"{""cook113"": 1}"
cook116,1,"{""cook116"": 1}"
cook118,1,"{""cook118"": 1}"
cook130,1,"{""cook130"": 1}"
cook132,1,"{""cook132"": 1}"
cook20,1,"{""cook20"": 1}"
cook38,1,"{""cook38"": 1}"
cook42,1,"{""cook42"": 1}"
cook45,1,"{""cook45"": 1}"
cook46,1,"{""cook46"": 1}"
cook47,1,"{""cook47"": 1}"
cook70,1,"{""cook70"": 1}"
cook75,1,"{""cook75"": 1}"
cook82,1,"{""cook82"": 1}"
cook90,1,"{""cook90"": 1}"
cook94,1,"{""cook94"": 1}"
cook98,1,"{""cook98"": 1}"
cpp_control_flow,1,"{""CPP-Control-Flow"": 1}"
cross_product,1,"{""Cross Product"": 1}"
cut,1,"{""cut"": 1}"
cycle,1,"{""cycle"": 1}"
cycle_graph,1,"{""cycle_graph"": 1}"
daniel_1999,1,"{""daniel_1999"": 1}"
data_structure,1,"{""data-structure"": 1}"
dazlersan1,1,"{""dazlersan1"": 1}"
derangements,1,"{""Derangements"": 1}"
difference_array,1,"{""difference-array"": 1}"
differentiation,1,"{""Differentiation"": 1}"
directed_graph,1,"{""directed-graph"": 1}"
dirichlet_convolution,1,"{""Dirichlet Convolution"": 1}"
discrete_logarithm,1,"{""Discrete Logarithm"": 1}"
discrete_maths,1,"{""Discrete Maths"": 1}"
distribution,1,"{""Distribution"": 1}"
dolabmoon,1,"{""dolabmoon"": 1}"
drswad,1,"{""drswad"": 1}"
erfaniaa,1,"{""erfaniaa"": 1}"
eulerian_tour,1,"{""eulerian-tour"": 1}"
extendedeuclid,1,"{""ExtendedEuclid"": 1}"
fairy_winx,1,"{""fairy_winx"": 1}"
fast_fourier_transform,1,"{""fast-fourier-transform"": 1}"
feb12,1,"{""feb12"": 1}"
feb13,1,"{""feb13"": 1}"
feb20,1,"{""feb20"": 1}"
fenwick_tree,1,"{""fenwick-tree"": 1}"
flood_fill,1,"{""Flood Fill"": 1}"
floyd_warshall,1,"{""floyd-warshall"": 1}"
ford_fulkerson_algorithm,1,"{""Ford-Fulkerson Algorithm"": 1}"
formal_language,1,"{""Formal Language"": 1}"
foyaz05,1,"{""foyaz05"": 1}"
functional_equations,1,"{""Functional Equations"": 1}"
functions,1,"{""Functions"": 1}"
furko_adm,1,"{""furko_adm"": 1}"
garners_algorithm,1,"{""garners-algorithm"": 1}"
gomory_hu_tree,1,"{""Gomory-Hu Tree"": 1}"
graph_isomorphism_problem,1,"{""Graph Isomorphism Problem"": 1}"
gray_code,1,"{""Gray code"": 1}"
grid,1,"{""grid"": 1}"
grundy_numbers,1,"{""grundy-numbers"": 1}"
hackcyborg,1,"{""hackcyborg"": 1}"
hackenbush,1,"{""Hackenbush"": 1}"
hackslash_123,1,"{""hackslash_123"": 1}"
hadamard_matrix,1,"{""hadamard-matrix"": 1}"
harshil21,1,"{""harshil21"": 1}"
heavylightdecomposition,1,"{""Heavylightdecomposition"": 1}"
hemanthram,1,"{""hemanthram"": 1}"
hiroto_adm,1,"{""hiroto_adm"": 1}"
hloya_ygrt,1,"{""hloya_ygrt"": 1}"
hopcroft_karp_algorithm,1,"{""Hopcroft Karp Algorithm"": 1}"
image_processing,1,"{""Image Processing"": 1}"
impartial_game,1,"{""Impartial Game"": 1}"
integration,1,"{""Integration"": 1}"
inversions,1,"{""inversions"": 1}"
isha_adm,1,"{""isha_adm"": 1}"
ivanz_adm,1,"{""ivanz_adm"": 1}"
izaron,1,"{""izaron"": 1}"
jan15,1,"{""jan15"": 1}"
jan16,1,"{""jan16"": 1}"
jan21,1,"{""jan21"": 1}"
jnarutoj,1,"{""jnarutoj"": 1}"
json,1,"{""JSON"": 1}"
july12,1,"{""july12"": 1}"
july13,1,"{""july13"": 1}"
july16,1,"{""july16"": 1}"
july17,1,"{""july17"": 1}"
july19,1,"{""july19"": 1}"
june12,1,"{""june12"": 1}"
june13,1,"{""june13"": 1}"
june14,1,"{""june14"": 1}"
june15,1,"{""june15"": 1}"
june17,1,"{""june17"": 1}"
june18,1,"{""june18"": 1}"
kalpitk,1,"{""kalpitk"": 1}"
katana_handler,1,"{""katana_handler"": 1}"
khad_adm,1,"{""khad_adm"": 1}"
kruskal,1,"{""Kruskal"": 1}"
kuhn,1,"{""kuhn"": 1}"
kushalgoel,1,"{""kushalgoel"": 1}"
lavish315,1,"{""lavish315"": 1}"
lcs,1,"{""LCS"": 1}"
linear_programming,1,"{""Linear Programming"": 1}"
lines,1,"{""Lines"": 1}"
linked_lists,1,"{""Linked Lists"": 1}"
logic_maths,1,"{""logic-maths"": 1}"
logical,1,"{""logical"": 1}"
logicalthinking,1,"{""logicalthinking"": 1}"
longest_common_substring,1,"{""Longest Common Substring"": 1}"
longest_inc_subsequence,1,"{""longest-inc-subsequence"": 1}"
ltime101,1,"{""ltime101"": 1}"
ltime112,1,"{""ltime112"": 1}"
ltime16,1,"{""ltime16"": 1}"
ltime27,1,"{""ltime27"": 1}"
ltime28,1,"{""ltime28"": 1}"
ltime32,1,"{""ltime32"": 1}"
ltime38,1,"{""ltime38"": 1}"
ltime51,1,"{""ltime51"": 1}"
ltime53,1,"{""ltime53"": 1}"
ltime63,1,"{""ltime63"": 1}"
ltime64,1,"{""ltime64"": 1}"
ltime65,1,"{""ltime65"": 1}"
ltime66,1,"{""ltime66"": 1}"
ltime68,1,"{""ltime68"": 1}"
ltime70,1,"{""ltime70"": 1}"
ltime71,1,"{""ltime71"": 1}"
ltime73,1,"{""ltime73"": 1}"
ltime75,1,"{""ltime75"": 1}"
ltime78,1,"{""ltime78"": 1}"
ltime98,1,"{""ltime98"": 1}"
ltime99,1,"{""ltime99"": 1}"
m0stik,1,"{""m0stik"": 1}"
ma5termind,1,"{""ma5termind"": 1}"
madhav_1999,1,"{""madhav_1999"": 1}"
mamedov,1,"{""mamedov"": 1}"
march12,1,"{""march12"": 1}"
march16,1,"{""march16"": 1}"
march21,1,"{""march21"": 1}"
matrix_pow,1,"{""matrix pow"": 1}"
maximum_flow,1,"{""Maximum Flow"": 1}"
may12,1,"{""may12"": 1}"
may13,1,"{""may13"": 1}"
may15,1,"{""may15"": 1}"
may18,1,"{""may18"": 1}"
may20,1,"{""may20"": 1}"
mazihang2022,1,"{""mazihang2022"": 1}"
meet_in_middle,1,"{""meet-in-middle"": 1}"
mexomerf,1,"{""mexomerf"": 1}"
min_cut_max_flow,1,"{""Min Cut Max flow"": 1}"
minimum_cut,1,"{""minimum-cut"": 1}"
mo_s_algorithm,1,"{""Mo's Algorithm"": 1}"
monthly_contest,1,"{""Monthly-Contest"": 1}"
mrkerim,1,"{""mrkerim"": 1}"
multi_source_bfs,1,"{""Multi source BFS"": 1}"
nots0fast,1,"{""nots0fast"": 1}"
nov18,1,"{""nov18"": 1}"
nov19,1,"{""nov19"": 1}"
ntt,1,"{""NTT"": 1}"
number_theoretic_transfmtn,1,"{""number-theoretic-transfmtn"": 1}"
object_oriented_programming,1,"{""Object-oriented Programming"": 1}"
oct13,1,"{""oct13"": 1}"
oct15,1,"{""oct15"": 1}"
oct17,1,"{""oct17"": 1}"
oct18,1,"{""oct18"": 1}"
ojasbansal,1,"{""ojasbansal"": 1}"
oop,1,"{""OOP"": 1}"
paley_construction,1,"{""paley-construction"": 1}"
panik,1,"{""panik"": 1}"
pattern,1,"{""pattern"": 1}"
pavel1996,1,"{""pavel1996"": 1}"
permutation_cycles,1,"{""Permutation Cycles"": 1}"
planar_graph,1,"{""Planar Graph"": 1}"
pointers,1,"{""Pointers"": 1}"
policy_based_data_structures,1,"{""Policy Based Data Structures"": 1}"
poly_divisible_numbers,1,"{""Poly Divisible Numbers"": 1}"
prakhar17252,1,"{""prakhar17252"": 1}"
prasant21,1,"{""prasant21"": 1}"
prateekg603,1,"{""prateekg603"": 1}"
pre_computation,1,"{""pre-computation"": 1}"
precomputation,1,"{""Precomputation"": 1}"
present_sir,1,"{""present_sir"": 1}"
prim_s_algorithm,1,"{""Prim's Algorithm"": 1}"
printing_patterns,1,"{""Printing Patterns"": 1}"
priyanshi,1,"{""priyanshi_"": 1}"
prnjl_rai,1,"{""prnjl_rai"": 1}"
proconjunior,1,"{""proconjunior"": 1}"
proof,1,"{""proof"": 1}"
pruning,1,"{""pruning"": 1}"
python_classes,1,"{""Python - Classes"": 1}"
quadratic_residue,1,"{""Quadratic Residue"": 1}"
quantifiers,1,"{""Quantifiers"": 1}"
quickselect,1,"{""Quickselect"": 1}"
rabin_karp_algorithm,1,"{""Rabin Karp Algorithm"": 1}"
rabin_miller_test,1,"{""Rabin Miller Test"": 1}"
radix_sort,1,"{""Radix Sort"": 1}"
rag_hav13,1,"{""rag_hav13"": 1}"
rajat1603,1,"{""rajat1603"": 1}"
range_sum,1,"{""range sum"": 1}"
range_sum_queries,1,"{""Range Sum Queries"": 1}"
ratingoverflow,1,"{""ratingoverflow"": 1}"
reverse,1,"{""Reverse"": 1}"
riddles,1,"{""Riddles"": 1}"
roman_adm,1,"{""roman_adm"": 1}"
romawhite,1,"{""romawhite"": 1}"
rotating_caliper,1,"{""Rotating Caliper"": 1}"
satej_adm,1,"{""satej_adm"": 1}"
scanline_algorithm,1,"{""Scanline Algorithm"": 1}"
scc,1,"{""scc"": 1}"
sept20,1,"{""sept20"": 1}"
sgbtech96,1,"{""sgbtech96"": 1}"
shaanknight,1,"{""shaanknight"": 1}"
shift,1,"{""shift"": 1}"
shivamg_isc,1,"{""shivamg_isc"": 1}"
sidhant007,1,"{""sidhant007"": 1}"
smit_adm,1,"{""smit_adm"": 1}"
sperner_s_theorem,1,"{""Sperner's Theorem"": 1}"
sprague_grundy,1,"{""sprague-grundy"": 1}"
start13,1,"{""start13"": 1}"
start14,1,"{""start14"": 1}"
start3,1,"{""start3"": 1}"
start6,1,"{""start6"": 1}"
string_manipulation,1,"{""String-Manipulation"": 1}"
string_parsing,1,"{""String Parsing"": 1}"
subset_enumeration,1,"{""Subset Enumeration"": 1}"
suffix_array,1,"{""Suffix Array"": 1}"
suffixarrays,1,"{""SuffixArrays"": 1}"
suryaprak_adm,1,"{""suryaprak_adm"": 1}"
tanmay28,1,"{""tanmay28"": 1}"
theoneyouwant,1,"{""theoneyouwant"": 1}"
topsort,1,"{""topsort"": 1}"
treap,1,"{""Treap"": 1}"
tree_ds,1,"{""tree ds"": 1}"
utkarsh_25dec,1,"{""utkarsh_25dec"": 1}"
vamsi_adm,1,"{""vamsi_adm"": 1}"
vertex_cover,1,"{""Vertex Cover"": 1}"
vichitr,1,"{""vichitr"": 1}"
vijju123,1,"{""vijju123"": 1}"
vinay_adm,1,"{""vinay_adm"": 1}"
vishal_nnd0,1,"{""vishal_nnd0"": 1}"
vladprog,1,"{""vladprog"": 1}"
williamson,1,"{""williamson"": 1}"
wwwwodddd,1,"{""wwwwodddd"": 1}"
yash5507,1,"{""yash5507"": 1}"
yjgarg,1,"{""yjgarg"": 1}"
zeckendorf_theorem,1,"{""zeckendorf Theorem"": 1}"
